,jobUrl,job title,company_name,position,Level,Year of Exp,Hiring,Salary,Sex,Age,Term,Function/Category,Industry,Qualification,Language,Location,Job Description,Job Requirement,Company Profile,Publish Date,Closing Date,Contact Info
0,https://www.camhr.com/a/job/10046928,Sale Manager,"Chip Mong Group Co., Ltd",Sale Manager,~,5,1,Negotiable ,~,Age Unlimited,"
          Full Time
        ","
          Sales
        ","
          Real Estate
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ","•Implement the sale strategies to develop the sale growth and target achievement.
•Plan, Organize, Control and evaluate sale promotion activities.
•Mange and lead a sale force, Provide guidelines and problem solving to ensure the sale team are fully motivated and achieve the expected performance.
•Be able to manage and control the key wholesaler and customers.  To comply policy and achieve the sale performance.
•Conduct on the job and off the job training to sale team with the effectiveness.
•Collect the market situation report and pricing with timely and accurately submission.
•Be able to communicate and coordinate between sale departments.
•Control the aging report to ensure the customers paid within the giving period.
•Working cross function such as Customer Relation, Account Receivable, Account Payable and transportation to solve the problem when needed.
•Be able to evaluate the staff performance by quarter and quarter.   
•Perform other duties as assigned from management of the Company.

 ","•Degree holder in business administration or equivalent,  with a MBA will be  advantageous 
•At least 8 years' business development and sales management experience with at least 5 years at managerial level, preferably gained from sizable organizations in construction industries
•Extensive experience in developing, expanding and managing distributors and wholesalers network for the relevant businesses
•Proven track records in managing sizable business with exposure in the ASEAN markets will be a plus
•High level of business acumen, result-oriented, organized and self-motivated
•Excellent leadership, communications and people management skills
•Strategic planning and staff development skills are essential
•Proficiency in spoken and written English and Khmer, with knowledge of other Asian languages a bonus
•Sound knowledge of MS office application.
","Since its founding in 1982, Chip Mong has focused extensively on the changing needs of the society and the strengthening of its relationships with business communities, both domestically and internationally. In recent years, Chip Mong has experienced tremendous growth and evolved into one of the largest groups of companies in the country, comprising seven wholly-owned subsidies, three joint-ventures, and two hotel projects. Chip Mong’s businesses include construction and materials, consumers goods, property development, beverages, general industrials, hospitality, retail and feed. The Company also offers a vast array of consumer products from well-known manufacturers throughout the region.",Publish Date：Dec-19-2014,Closing Date：Jan-18-2015,"Contact Information HR Department  017 593 222 P.O Box 137, #137B, Mao Tse Tung Blvd, Sangkat Boeung Keng Kang III, Khan Chamkarmorn, Phnom Penh Cambodia.  017 593 222"
1,https://www.camhr.com/a/job/10046911,Reginal Manager,"Samkwang Food Co., Ltd.",Reginal Manager,Senior,2,1,$500-$999,Male/Female,28 ~ 37,"
          Full Time
        ","
          Administration
        ","
          Trading
        ","
          Bachelor Degree
        ","
          English-- Excellent
        ","
          Phnom Penh
        ","Regional Manager
WELT BIO Co., Ltd is waiting for qualified candidates to apply for Regional Manager based in Cambodia – Phnom Penh.  WELT BIO is a subsidiary company of SAMKWANG FOOD CO., LTD., which is one of the largest chocolate manufacturers in South Korea with 40 years history of leading the market.  Welt Bio invests on Cambodia including agriculture and also focused on trading.

Type of employment : Local - full time
Office Location : Phnom Penh

Salary : USD 500/month, office will be in Phnom Penh.

How to apply:
Interested candidates shall submit only CV with recent photograph (4X6 cm) and cover letter to email grache717@hotmail.com
Successful candidates will be invited for interview on 5th January, 2015.

Application Deadline : January 1st,, 2015
","Key Requirements:
Degree from Royal University of Phnom Penh or overseas.
Age 28~37.
Fluent in English : speaking, writing 
Driver license.
Interact confidently at all levels
Bright and positive character.
Should be available to work from January 5th, 2015 ",,Publish Date：Dec-19-2014,Closing Date：Invalid date,Contact Information Geeyea Chung HR Manager 82-31-714-7765 Phnom Pen  82-31-714-7765
2,https://www.camhr.com/a/job/10046910,Warehouse Staff,DKSH (Cambodia) Ltd,Warehouse Staff,~,~,~,Negotiable ,~,Age Unlimited,"
          Full Time
        ","
          QC/QA
        ","
          Others
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ","DKSH is the No. 1 Market Expansion Services Group with focus on Asia. We support companies in expanding their businesses in existing markets and launching into new ones.

DKSH’s Business Unit Healthcare is the leading partner for healthcare companies seeking to grow their business in Asia, offering a wide range of Market Expansion Services from product registration, marketing and sales to physical distribution. In line with our further growth, we are currently seeking qualified candidates to join DKSH (Cambodia) Ltd.

• Work daily in the warehouse, control Internal Delivery processes after sticker finish, receiving new shipment, arrangement of Warehouse space, and Stock Take, Control Air-conditioners consumption in WH.

• Ensure a proper implementation of the FIFO & FEFO policies decided by DKSH management.

• Reserve free areas for the coming goods, which informed by Supply Chain Assistant, will be delivered by forwarder agent direct to WH.

• Arrange goods brought into warehouse orderly the incoming shipments receive at inbound Area.

• Other task assigned by Inbound team leader /manager","• Graduated Bachelor degree if any

• Good communication and team work

• Willing to work under pressure

• Computer MS word, excel","At DKSH, our purpose is to enrich people’s lives by providing access to goods, services and insights. United by our vision to be the trusted partner, we help companies grow in Asia and beyond across our Business Units Healthcare, Consumer Goods, Performance Materials and Technology.

Delivering life-saving drugs to hospitals, bringing high-quality products to remote villages, installing technology that raises living standards and providing new formulations for healthcare products that make life easier. These are just a few examples of how DKSH touches people’s lives around the clock. We do this while helping our clients and customers grow by providing services including sourcing, market insights, marketing and sales, eCommerce, distribution and logistics as well as after-sales services.

Listed on the SIX Swiss Exchange, DKSH operates in 36 markets with 32,450 specialists, generating net sales of CHF 10.7 billion in 2020. Founded by Swiss entrepreneurs in 1865, we have been deeply root",Publish Date：Dec-19-2014,Closing Date：Jan-17-2015,"Contact Information Ms. Sam Chanmakara  +855 31 333 0160 No. 797, Corner Preah Monivong Boulevard and Street 484, Phnom Penh, Cambodia  +855 31 333 0160"
3,https://www.camhr.com/a/job/10046909,Sales Executive  / Senior Sales,Indochina Partner Travel,Sales Executive  / Senior Sales,Senior,1,1,Negotiable ,Male/Female,22 ~ 30,"
          Full Time
        ","
          Travel Agent/Ticket Sales
        ","
          Tourism
        ","
          Others
        ","
          English-- Good
        ","
          Phnom Penh
        ","INDOCHINA PARTNER TRAVEL is an International Licensed Travel Agency providing inbound tour, Laos and Vietnam. The head  office is in Phnom Penh. Our branch offices are located in Siem Reap, Vientiane (Laos) and Luang Prabang (Laos). Our main markets are from America, Europe, Australia and Asia. Due to the high quality service we provide, the company is ongoing growing and in demand of qualified employees.

Compensation: Competitive upon qualification
Benefits: Lunch & yearly bonuses
Working hours: 8.00-12.00/1.30-5.30, Monday to Friday (Saturday Morning) - Flexible to go on inspection as and when required.

- Responsible for organizing group and FIT tours, 
- Quote tentative tour itinerary based on customers requested
- Ensure all arrangement is completed in accuracy and timely manner
- Work closely with colleagues from other departments and offices
- Arranging and book all related tour services 
- Working report to manager on daily basis
- Collecting, evaluating and responding to customer feedback

","- At least 1 year experience on Sales and inbound tour Operation
- A bachelor degree or equivalent
- Experience in Travel & Tourism
- Computer knowledge (MS Office, Word, Excel, Internet, Email etc...) 
- Fluently speak, read and write English is a must and other languages preferred 
- Ability to manage multi-tasks in administration job and organizational skill and flexible
- Be high responsible, honest, confident and hard-working
- Good communication, attitude and teamwork
- Preferred Cambodian nationality (Age: 22–30)
","INDOCHINA PARTNER TRAVEL is an International Licensed Travel Agency providing inbound tour, Cambodia, Laos and Vietnam. The head office is in Phnom Penh.

Our branch offices are located in Siem Reap, Vientiane (Laos) and Luang Prabang (Laos). Our main markets are from America, Europe, Australia and Asia.",Publish Date：Dec-19-2014,Closing Date：Jan-17-2015,"Contact Information SOK SAM Operation Director 012 599 566 No. 2A, Street 228, Sangkat Chaktomuk, Khan Daun Penh, Phnom Penh, Kingdom of Cambodia Tel: (855 23) 214425 ; 214426 Fax: (855 23) 223412  012 599 566"
4,https://www.camhr.com/a/job/10046908,Sales Specialist,DKSH (Cambodia) Ltd,Sales Specialist,~,2,~,Negotiable ,~,Age Unlimited,"
          Full Time
        ","
          Medical/Health/Nursing
        ","
          Others
        ","
          Bachelor Degree
        ","
          English-- Excellent
        ","
          Phnom Penh
        ","*** Sales Professional

- Sell magazine ads for publications.

- Perform cold calling to get the attention of possible clients.

- Visit clients’ presentations and project proposals; external businesses to inquire about advertising sales.

- Sell ad space or time.

- Present different options to client, including images, designs, and font sizes; sell ad space or time.

- Build relationships with clients and understand the needs of each client.

- Generate revenue for print products to include magazine print ads spaces and print advertising inserts for all publications.

- Focus on growing existing accounts and acquiring new clients

- Walk door-to-door and solicit business by use statistics in sales pitch 

*** Research

- Perform extensive research on clients and competitors.

- Perform research on trend analysis.

- Make sales presentations/ Create clients’ pitches presentations for proposals and initiatives.

- Be present in any activation and events sold to clients and external partners.

*** Other tasks support

- Convey ad changes and discrepancies to copywriter.

- Keep abreast of changes within the publication's demographics.","- Excellent in English or plus 1 other language

- Huge and extensive Cambodian networking channels and clients currently in hand

- Possess transferable skills where sales and account management in marketing agency is concerned.

- Education/Experience Requirements: A successful candidate must possess

- Minimum 3 years working in a sales, marketing and/or advertising agency or customer service environment

- Online advertising experience preferred (3+ years)

- Business management - including budget management and participation in business planning activities experience (2+ years preferred) 

- Proven track record of exceptional performance, high productivity and meeting deadlines (2 years preferred) 

- Demonstrated experience leading high performing teams (min 1+ years preferred)

- Skills: Proven leadership and organizational skills, advanced computer skills, and extensive experience in sales, market requirements, customer support and advertising techniques.

- Demonstrated capability to influence partners and internal stakeholders at varying levels to support service model

- Comfort with public speaking and articulating vision and benefits 

- Strong background and current applicable experience and skills involving magazine content contribution, design ideas and copy-writing

Deadline: 17 Jan 2015","At DKSH, our purpose is to enrich people’s lives by providing access to goods, services and insights. United by our vision to be the trusted partner, we help companies grow in Asia and beyond across our Business Units Healthcare, Consumer Goods, Performance Materials and Technology.

Delivering life-saving drugs to hospitals, bringing high-quality products to remote villages, installing technology that raises living standards and providing new formulations for healthcare products that make life easier. These are just a few examples of how DKSH touches people’s lives around the clock. We do this while helping our clients and customers grow by providing services including sourcing, market insights, marketing and sales, eCommerce, distribution and logistics as well as after-sales services.

Listed on the SIX Swiss Exchange, DKSH operates in 36 markets with 32,450 specialists, generating net sales of CHF 10.7 billion in 2020. Founded by Swiss entrepreneurs in 1865, we have been deeply root",Publish Date：Dec-19-2014,Closing Date：Jan-17-2015,"Contact Information Ms. Sam Chanmakara  +855 31 333 0160 No. 797, Corner Preah Monivong Boulevard and Street 484, Phnom Penh, Cambodia  +855 31 333 0160"
5,https://www.camhr.com/a/job/10046897,Sales Supervisor- Phnom Penh (Salary 500$-700$),"KOFI CO., LTD",Sales Supervisor- Phnom Penh (Salary 500$-700$),Top,4,1,Negotiable ,Male/Female,25 ~ 50,"
          Full Time
        ","
          Sales
        ","
          Trading
        ","
          Bachelor Degree
        ","
          English-- Excellent
        ","
          Phnom Penh
        ","•	Determines annual unit and gross-profit plans by implementing marketing strategies; analyzing trends and results
•	Establishes sales objectives by forecasting and developing annual sales quotas for regions and territories; projecting expected sales volume and profit for existing and new products
•	Responsible for the performance and development of the sales team
•	Prepares action plans by individuals as well as by team for effective search of sales leads and prospects
•	Initiates and coordinates development of action plans to penetrate new markets
•	Assists in the development and implementation of marketing plans as needed
•	Conducts one-on-one review with all sales team to build more effective  communications
•	Provides timely feedback to Sales Manager & Managing Director regarding performance
•	Provides timely, accurate, competitive pricing on all completed prospect applications submitted for pricing and approval, while striving to maintain maximum profit margin 
•	Respect company rules and policies.
•	Other duties as assigned.
","•	At Least Graduated Bachelor degree, major in Sales and Marketing or relevant
•	3-5 years professional working experience in sales and marketing
•	Minimum Age: 25
•	Excellent computer skills and proficient in Ms. Office, and Internet-Email.
•	Excellent communication skills both verbal and written
•	Advance knowledge of English proficiency both speaking and writing skills
•	Excellent interpersonal skills and a collaborative management style.
•	Knowledge and experience in organizational effectiveness and operations management implementing best practices

BENEFITS:

• Lunch
• Petrol Card & Phone Allowance
• Yearly Bonus based on company incentive scheme
• Allowance for Training and Development program based on performance evaluation
• Award and Recognition for best employment of the year in Staff Party
• Promotion opportunity
• Maternity leave wages, Staff wedding wages and Retirement fund.
• Team Building Trip
• Personal Insurance (Forte & NSSF)
• (8:00AM - 5:30PM) Monday-(Saturday Haft Morning)
• 18 Annual Leave & Other leave allowance
• Full of Public Holiday follow Labor Law


HOW TO APPLY:

Interested candidates should summit the resume and cover letter with current (4x6) photograph, details of qualifications to KOFI Group by Email: job@kofi.com.kh or submit to our Showroom address # 86, Mao Tse Toung Blvd,Boeung Trabek, Chamkamorn, Phnom Penh, Cambodia. For more detail, please go through our Website Address: www.kofi.com.kh

Tel: 069 777 188
* Only shortlisted candidates will be contacted for interview.
Closing Date: January 15th, 2015


Contact Person :HR & Admin Department
Phone :	069 777 188
Email :	job@kofi.com.kh
Address :Phnom Penh
Website :www.kofi.com.kh"," We import quality equipment & product all over the world to ensure you are only using the best. We also provide reliable after sales services to support you as you start your coffee business journey.

 Founded in 2009, KOFI is one of the largest company which distributes Espresso coffee, Espresso coffee machine, Syrup and other related coffee accessories in Cambodia. Our main priority is to focus on quality services, professionalism and integrity.

 We have expanded ourselves with 4 showrooms in difference provinces to better serve our customer all over Cambodia. With full coverage services in Phnom Penh, SiemReap, Sihanouk Vile and Battambang.",Publish Date：Dec-19-2014,Closing Date：Jan-02-2015,"Contact Information Recruiter  069 777 559 # 86, Mao Tse Toung Blvd,Boeung Trabek, Chamkamorn, Phnom Penh, Cambodia   069 777 559"
6,https://www.camhr.com/a/job/10046896,Sale Executive (Medical Equipment)  ,KHMER FOODS GROUP,Sale Executive (Medical Equipment)  ,~,~,~,Negotiable ,~,Age Unlimited,"
          Full Time
        ","
          Sales
        ","
          Agriculture/Foresty/Fishing
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ","- Listening to customer requirements and presenting appropriately to make a sale
- Maintaining and developing relationships with existing customers in person and via telephone calls and emails
- Cold calling to arrange meetings with potential customers to prospect for new business
- Responding to incoming email and phone inquiry
- Acting as a contact between a company and its existing and potential markets
- Negotiating the terms of an agreement and closing sales
- Gathering market and customer information
- Representing their company at trade exhibitions, events and demonstrations
- Negotiating on price, costs, delivery and specifications with buyers and managers
- Challenging any objections with a view to getting the customer to buy
- Advising on forthcoming product developments and discussing special promotions
- Creating detailed proposal documents, often as part of a formal bidding process which is largely dictated by the prospective customer
- Liaising with suppliers to check the progress of existing orders
- Checking the quantities of goods on display and in stock
- Recording sales and order information and sending copies to the sales office, or entering figures into a computer system
- Reviewing your own sales performance, aiming to meet or exceed targets
- Gaining a clear understanding of customers' businesses and requirements
- Making accurate, rapid cost calculations and providing customers with quotations
- Feeding future buying trends back to employers
- Attending team meeting and sharing best practice with colleagues
","- A high degree of self-motivation and ambitions, Bachelor degree in Management or Marketing. 
- Have experience in Medical Equipment at least 2 years 
- Can go province often  is an advantage 
- The ability and desire to sell
- Excellent communication skills
- A positive, confident and determined approach
- Resilience and the ability to cope with rejection
- The skills to work both independently and as part of a team
- The ability to flourish in a competitive environment
- A good level of numeracy
- Can work under the pressure
- Challenge in working 
- Good in problem solving
- Medical Science certificate is an advantage 
","KFG is a group of companies specialized in rice process & export, agro-industry, healthcare, and entertainment. KFG is a leading rice exporter and processor in Cambodia and is currently having two subsidiaries: Noyakong Group and Puzzles Club. Our office is located in Phnom Penh city.
",Publish Date：Dec-19-2014,Closing Date：Jan-17-2015,"Contact Information KFG's Management  089 222 011 # 39ABCD, National way 1, Sangkat Niroth, Khan Meanchey, Phnom Penh, Cambodia.  089 222 011"
7,https://www.camhr.com/a/job/10046895,Electrician (Base on Experience ),KHMER FOODS GROUP,Electrician (Base on Experience ),~,~,~,Negotiable ,Male,20 ~ 32,"
          Full Time
        ","
          Architecture/Engineering
        ","
          Agriculture/Foresty/Fishing
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ",#NAME?,#NAME?,"KFG is a group of companies specialized in rice process & export, agro-industry, healthcare, and entertainment. KFG is a leading rice exporter and processor in Cambodia and is currently having two subsidiaries: Noyakong Group and Puzzles Club. Our office is located in Phnom Penh city.
",Publish Date：Dec-19-2014,Closing Date：Jan-17-2015,"Contact Information KFG's Management  089 222 011 # 39ABCD, National way 1, Sangkat Niroth, Khan Meanchey, Phnom Penh, Cambodia.  089 222 011"
8,https://www.camhr.com/a/job/10046894,Quality Control Manager,"Chip Mong Group Co., Ltd",Quality Control Manager,~,3,~,Negotiable ,~,Age Unlimited,"
          Full Time
        ","
          QC/QA
        ","
          Trading
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ","·Responsible for the overall concrete batching plant

·Technical support and engineering units

·Quality control/testing control unit, establish new procedure to effectively improve overall plant operation and cost

·Responsible for R/D of mixed design for cost and efficiency optimization

·ISO all control in CMC

·Raw Material control, quality checking of raw material at plants and out source

·R&M plant with plant supervisor overall CMC and report to Concrete Plant Manager

·Meeting with customer in cease quality problem and report to Concrete Plant Manager

·Make a concrete mix design for sales as per request to propose to customer and checking compressive strength from CMC Lab and send report to Concrete Plant Manager

·Enforce safety and sanitation regulations

·Schedule plan for booking QC & slump staff to construction site every day and send report to Concrete Plant Manager every day

·Quality control of concrete at construction following standard every time

·Coordinate with Laboratory for collector of concrete sample test at site when finish working and concrete sample test have age enough for transportation

·Problem result in construction site and report to Concrete Plant Manager immediately

·Confer with management or subordinates o resolve worker problems, complaints, or grievances

·Provide operation report such as QC & Slump schedule to construction site everyday and concrete sample test at site report

·Coordinate with Plant Supervisor for solve problem overall in CMC and report to Concrete Plant Manager

·To be responsible of any ad-hoc assignment.



","·Bachelor Degree in Engineering or related field

·Minimum 3 years experiences in concrete management

·Excellent in management and communication skills

·Good in English

·Having a good proficiency in Microsoft office suite.

Interested parties, please apply with your full resume with cover letter and a current 4x6 photo, stating current and expected salary, to hr@chipmonggroup.com or our address at P.O. Box 137, 137B, Mao Tse Toung Blvd., Sangkat Boeung Keng Kang III, Khan Chamkarmon, Phnom Penh, Cambodia.

Please note that only shortlisted candidate will be contacted for interview. ","Since its founding in 1982, Chip Mong has focused extensively on the changing needs of the society and the strengthening of its relationships with business communities, both domestically and internationally. In recent years, Chip Mong has experienced tremendous growth and evolved into one of the largest groups of companies in the country, comprising seven wholly-owned subsidies, three joint-ventures, and two hotel projects. Chip Mong’s businesses include construction and materials, consumers goods, property development, beverages, general industrials, hospitality, retail and feed. The Company also offers a vast array of consumer products from well-known manufacturers throughout the region.",Publish Date：Dec-19-2014,Closing Date：Jan-18-2015,"Contact Information HR Department  017 593 222 P.O Box 137, #137B, Mao Tse Tung Blvd, Sangkat Boeung Keng Kang III, Khan Chamkarmorn, Phnom Penh Cambodia.  017 593 222"
9,https://www.camhr.com/a/job/10046893,HR/Admin  Assistant   ,KHMER FOODS GROUP,HR/Admin  Assistant   ,~,1,1,Negotiable ,Male,Age Unlimited,"
          Full Time
        ","
          Administration
        ","
          Agriculture/Foresty/Fishing
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ",#NAME?,"- At least 1 year experience 
- Graduated of Bachelor or Associate Degree  
- Flexible of working, hard working and loyalty   
- Good attitude 
","KFG is a group of companies specialized in rice process & export, agro-industry, healthcare, and entertainment. KFG is a leading rice exporter and processor in Cambodia and is currently having two subsidiaries: Noyakong Group and Puzzles Club. Our office is located in Phnom Penh city.
",Publish Date：Dec-19-2014,Closing Date：Jan-17-2015,"Contact Information KFG's Management  089 222 011 # 39ABCD, National way 1, Sangkat Niroth, Khan Meanchey, Phnom Penh, Cambodia.  089 222 011"
